,Klebsiella pneumoniae 1162281 1037908.3,Klebsiella pneumoniae KCTC 2242 1049565.4,Klebsiella pneumoniae 1191100241 1074486.3,Klebsiella pneumoniae subsp. pneumoniae KPNIH1 1087440.3,Klebsiella pneumoniae subsp. pneumoniae KPNIH2 1087441.3,Klebsiella pneumoniae subsp. pneumoniae KPNIH4 1087443.3,Klebsiella pneumoniae subsp. pneumoniae KPNIH5 1087444.3,Klebsiella pneumoniae subsp. pneumoniae KPNIH6 1087445.3,Klebsiella pneumoniae subsp. pneumoniae KPNIH7 1094167.3,Klebsiella pneumoniae subsp. pneumoniae KPNIH8 1094168.3,Klebsiella pneumoniae subsp. pneumoniae KPNIH9 1094169.3,Klebsiella pneumoniae subsp. pneumoniae KPNIH10 1094170.3,Klebsiella pneumoniae subsp. pneumoniae KPNIH11 1094171.3,Klebsiella pneumoniae subsp. pneumoniae HS11286 1125630.4,Klebsiella pneumoniae subsp. pneumoniae KPNIH12 1128946.3,Klebsiella pneumoniae subsp. pneumoniae KPNIH14 1128948.3,Klebsiella pneumoniae subsp. pneumoniae KPNIH16 1128950.3,Klebsiella pneumoniae subsp. pneumoniae KPNIH17 1128951.3,Klebsiella pneumoniae subsp. pneumoniae KPNIH18 1128952.3,Klebsiella pneumoniae subsp. pneumoniae KPNIH19 1128953.3,Klebsiella pneumoniae subsp. pneumoniae KPNIH20 1128954.3,Klebsiella pneumoniae subsp. pneumoniae DSM 30104 1162296.3,Klebsiella pneumoniae subsp. pneumoniae KPNIH21 1168062.3,Klebsiella pneumoniae subsp. pneumoniae KPNIH22 1168063.3,Klebsiella pneumoniae subsp. pneumoniae KPNIH23 1168064.3,Klebsiella pneumoniae subsp. pneumoniae LZ 1177153.3,Klebsiella pneumoniae subsp. pneumoniae ST512-K30BO 1185418.3,Klebsiella pneumoniae subsp. pneumoniae ST258-K26BO 1185419.3,Klebsiella pneumoniae subsp. pneumoniae ST258-K28BO 1185420.3,Klebsiella pneumoniae subsp. pneumoniae 1084 1193292.6,Klebsiella pneumoniae subsp. pneumoniae WGLW1 1203544.3,Klebsiella pneumoniae subsp. pneumoniae WGLW2 1203545.3,Klebsiella pneumoniae subsp. pneumoniae WGLW5 1203547.3,Klebsiella pneumoniae subsp. pneumoniae ST258-490 1212766.3,Klebsiella pneumoniae subsp. pneumoniae KpQ3 1226115.3,Klebsiella pneumoniae subsp. pneumoniae Ecl8 1226680.3,Klebsiella pneumoniae ATCC BAA-2146 1263871.3,Klebsiella pneumoniae hvKP1 1267897.3,Klebsiella pneumoniae ATCC BAA-1705 1276652.3,Klebsiella pneumoniae 700603 1276653.3,Klebsiella pneumoniae PR04 1279040.3,Klebsiella pneumoniae UHKPC40 1284787.3,Klebsiella pneumoniae UHKPC23 1284788.3,Klebsiella pneumoniae UHKPC05 1284790.3,Klebsiella pneumoniae DMC0526 1284796.3,Klebsiella pneumoniae UHKPC48 1284801.3,Klebsiella pneumoniae UHKPC09 1284810.3,Klebsiella pneumoniae UHKPC01 1284811.3,Klebsiella pneumoniae UHKPC81 1284812.3,Klebsiella pneumoniae UHKPC27 1284813.3,Klebsiella pneumoniae UHKPC 52 1284814.3,Klebsiella pneumoniae UHKPC24 1284815.3,Klebsiella pneumoniae UHKPC26 1284816.3,Klebsiella pneumoniae UHKPC57 1284817.3,Klebsiella pneumoniae UHKPC45 1284819.3,Klebsiella pneumoniae UHKPC22 1284820.3,Klebsiella pneumoniae UHKPC29 1284821.3,Klebsiella pneumoniae UHKPC32 1284822.3,Klebsiella pneumoniae UHKPC04 1284823.3,Klebsiella pneumoniae VAKPC252 1284824.3,Klebsiella pneumoniae VAKPC254 1284825.3,Klebsiella pneumoniae VAKPC269 1284826.3,Klebsiella pneumoniae VAKPC278 1284827.3,Klebsiella pneumoniae VAKPC280 1284828.3,Klebsiella pneumoniae VAKPC270 1284829.3,Klebsiella pneumoniae VAKPC276 1284830.3,Klebsiella pneumoniae VAKPC297 1284831.3,Klebsiella pneumoniae VAKPC309 1284832.3,Klebsiella pneumoniae KP-11 1284834.3,Klebsiella pneumoniae HSL4 1294269.3,Klebsiella pneumoniae 361_1301 1304920.3,Klebsiella pneumoniae 500_1420 1304922.3,Klebsiella pneumoniae 540_1460 1304923.3,Klebsiella pneumoniae 646_1568 1304924.3,Klebsiella pneumoniae subsp. pneumoniae 12-3578 1306950.3,Klebsiella pneumoniae ATCC 25955 1316938.3,Klebsiella pneumoniae G5-2 1316939.3,Klebsiella pneumoniae MGH 78578 272620.3,Klebsiella pneumoniae subsp. pneumoniae MGH 78578 272620.9,Klebsiella pneumoniae NTUH-K2044 484021.4,Klebsiella pneumoniae 342 507522.6,Klebsiella pneumoniae subsp. rhinoscleromatis ATCC 13884 667127.3
KPN_02991,100,99.6,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.1,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,100,99.8,99.8,99.8,99.8,100,100,100,99.8,99.8,99.6,99.8,100,99.8,99.41,100,99.8,99.8,99.8,99.8,99.8,99.8,99.8,100,99.8,99.8,99.8,99.8,100,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,100,100,99.8,99.8,99.8,99.8,99.21,100,100,100,100,99.8,98.81,99.41
KPN_04284,100,100,99.73,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.73,100,100,100,100,100,100,99.73,99.73,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.69,100,100,100,100,99.73,100,100,100,100,100,99.73,100
KPN_00920,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.69,100,99.69,100,100,100,100,100,100,99.38,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.69,100,100,100,100,100,99.69,100
KPN_03853,99.61,99.61,99.61,99.21,99.21,99.21,99.21,99.21,99.21,99.21,99.21,99.21,99.21,99.21,99.21,99.21,99.21,99.21,99.21,99.21,99.21,99.61,99.21,99.21,99.21,99.61,99.21,99.21,99.21,98.43,99.61,98.82,98.43,99.21,99.61,99.61,99.21,99.61,99.21,92.89,98.82,99.21,99.21,99.21,99.21,99.21,99.21,99.21,98.03,99.21,99.21,99.21,99.21,99.21,99.21,99.21,99.21,99.21,99.21,99.21,99.21,99.21,99.21,99.21,99.21,99.21,99.21,99.21,99.61,98.82,99.21,99.21,99.21,99.21,92.89,99.61,99.61,100,100,98.43,98.82,
KPN_03501,99.7,99.56,99.78,99.78,99.78,99.78,99.78,100,99.78,100,100,100,100,99.78,99.78,100,99.78,99.78,100,99.78,100,99.56,100,99.78,99.78,99.1,99.78,99.78,99.78,99.56,99.78,99.78,99.56,99.78,100,99.56,99.78,99.56,99.78,98.91,99.13,99.78,99.78,99.78,99.78,99.78,99.78,99.78,99.78,99.78,99.78,99.78,99.78,99.78,99.78,99.78,99.78,99.78,99.78,99.78,99.78,99.78,99.78,99.78,99.78,99.78,99.78,99.78,99.77,99.13,99.78,99.78,99.78,99.78,99.13,99.7,99.56,100,99.78,99.56,99.16,99.56
KPN_00864,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,100,100,100,100,100,100,100,100,100,100,100,99.67,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.65,100,100,100,100,99.67,100,100,100,100,100,99.35,100
KPN_00214,99.47,99.47,99.47,99.47,99.47,99.47,99.47,99.47,99.47,99.47,99.47,99.47,99.47,99.47,99.47,99.47,99.47,99.47,99.47,99.47,99.47,99.47,99.47,99.47,99.47,99.47,99.47,,,99.47,99.47,99.47,99.47,99.47,99.47,99.47,99.47,99.47,99.47,98.4,99.47,99.47,99.47,99.47,99.47,99.47,99.47,99.47,99.47,99.47,99.47,99.47,99.47,99.47,99.47,99.47,99.47,99.47,99.47,99.47,99.47,99.47,99.47,99.47,99.47,99.47,99.47,99.47,99.47,99.47,99.47,99.47,99.47,99.47,98.4,99.47,99.47,100,100,99.47,98.94,98.4
KPN_04178,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.79,100,100,100,100,100,100,100,100,100,99.79,99.79,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.79,100,100,100,100,100,99.79,100
KPN_02770,100,100,100,100,100,100,100,100,100,100,100,100,100,99.73,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.73,100,100,100,100,100,100,100,100,99.73,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.73,100,100,100,100,100,98.9,100
KPN_02478,99.44,99.44,99,99.15,99.15,99.15,99.15,99.15,99.15,99.15,99.15,99.15,99.15,99.15,99.15,99.15,99.15,99.15,99.15,99.15,99.15,99.44,99.15,99.15,99.15,99.72,99.15,99.15,99.15,99.44,98.87,99.44,99.15,99.15,99.15,99.44,99.72,99.44,99.15,98.31,99.72,99.15,99.15,99.15,99.15,99.15,99.15,99.15,98.87,99.15,99.15,99.15,99.15,99.44,99.15,99.15,99.15,99.15,99.15,99.15,99.15,99.15,99.15,99.15,99.15,99.15,99.15,99.15,99.44,99.44,99.15,99.15,99.15,99.15,98.59,99.44,99.44,100,100,99.44,98.59,99.44
KPN_02643,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,98.27,100,100,100,100,100,100,100,100,100,100,100,100
KPN_01925,99.63,99.63,99.63,99.25,99.25,99.25,99.25,99.25,99.25,99.25,99.25,99.25,99.25,99.63,99.25,99.25,99.25,99.25,99.24,98.96,99.25,99.25,99.25,99.25,98.51,99.63,99.25,99.25,99.25,99.63,99.25,99.25,99.63,99.25,99.63,99.63,99.63,99.25,99.25,97.01,99.63,99.25,99.25,99.25,99.25,99.25,99.25,99.25,99.25,99.25,99.25,99.25,99.25,99.63,99.25,99.25,99.25,99.25,99.25,99.25,99.25,99.25,99.25,99.25,99.25,99.25,99.25,99.25,99.63,99.4,99.25,99.25,99.25,99.25,97.39,99.63,99.63,100,100,99.63,97.39,99.63
KPN_04302,99.75,99.75,99.74,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,97.75,92.37,97.75,99.75,99.75,99.49,99.49,99.75,99.49,99.75,99.75,99.47,99.75,95.45,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.49,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.49,99.47,99.75,99.75,99.75,99.75,95.45,99.75,99.75,100,100,99.47,96.18,99.2
KPN_01975,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.53,99.76,100,100,100,99.77,100,100,100,100,99.76,100,100,100,100,100,100,100,100,99.76,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.76,99.76,99.76,100,99.72,99.16,92.7,99.72
KPN_03323,100,99.42,99.42,99.42,99.42,99.42,99.42,99.42,99.42,99.42,99.42,99.42,99.42,99.42,99.42,99.42,99.42,99.42,99.42,99.42,99.42,99.42,99.42,99.42,99.42,99.42,99.42,99.42,99.42,99.42,99.42,100,99.42,99.42,99.42,99.42,99.42,99.42,99.42,99.42,100,99.42,99.42,99.42,99.42,99.42,99.42,99.42,100,99.42,99.42,99.42,99.42,100,99.42,99.42,99.42,99.42,99.42,99.42,99.42,99.42,99.42,99.42,99.42,99.42,99.42,99.42,99.42,100,99.42,99.42,99.42,99.42,99.42,100,100,100,100,99.42,98.84,100
KPN_00972,100,99.69,99.06,99.06,99.06,99.06,99.06,99.06,99.06,99.06,99.06,99.06,99.06,98.68,99.06,99.06,99.06,99.01,99.06,99.06,99.06,100,99.06,99.06,99.06,99.67,99.06,99.06,99.06,99.69,99.38,99.38,99.38,99.06,99.69,99.69,99.06,100,99.06,98.44,99.69,99.06,99.06,99.06,99.06,99.06,99.06,99.06,99.69,99.06,99.06,99.06,99.06,99.69,99.06,99.06,99.06,99.06,99.06,99.06,99.06,99.06,99.06,99.06,99.06,99.06,99.06,99.06,100,100,99.06,99.06,99.06,99.06,98.44,99.69,99.69,100,100,99.69,97.81,100
KPN_04008,100,99.7,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.7,100,100,100,100,100,100,100,100,100,100,100,100,100,99.7,100,100,100,99.39,100,100,100,100,100,100,100,100,100,100,100,100,100,99.7,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.43,100,100,100,100,99.39,100,100,100,100,100,100,100
KPN_04248,99.61,100,99.61,99.22,99.22,99.22,99.22,99.22,99.22,99.22,99.22,99.22,99.22,99.22,99.22,99.22,99.22,99.22,99.22,99.22,99.22,100,99.22,99.22,99.22,99.61,99.22,99.22,99.22,99.61,100,99.61,99.61,99.22,99.61,100,99.22,100,99.22,99.22,99.61,99.22,99.22,99.22,99.22,99.22,99.22,99.22,99.61,99.22,99.22,99.22,99.22,99.22,99.22,99.22,99.22,99.22,99.22,99.22,99.22,99.22,99.22,99.22,99.22,99.22,99.22,99.22,99.61,99.61,99.22,99.22,99.22,99.22,99.22,99.61,99.61,100,100,99.61,98.83,99.42
KPN_03016,99.64,100,99.45,99.82,99.82,99.82,99.82,99.82,99.82,99.82,99.82,99.82,99.82,99.82,99.82,99.82,99.82,99.82,99.82,99.82,99.82,99.64,99.82,99.82,99.82,100,99.82,99.82,99.51,100,99.64,99.82,100,99.82,99.82,100,99.82,100,99.82,98.92,,99.82,99.82,99.82,99.82,99.82,99.82,99.82,99.82,99.82,99.82,99.82,99.82,99.82,99.82,99.82,99.82,99.82,99.82,99.82,99.82,99.82,99.82,99.82,99.82,99.82,99.82,99.82,100,99.72,99.82,99.82,99.82,99.82,99.1,100,100,100,100,100,98.57,99.82
KPN_03968,100,100,100,99.72,99.72,99.72,99.72,99.72,99.72,99.72,99.72,99.72,99.72,99.72,99.72,99.72,99.72,99.72,99.72,99.72,99.72,99.44,99.72,99.72,99.72,,99.72,99.72,99.72,100,99.72,100,100,99.72,100,100,99.72,99.72,99.72,95.53,99.72,99.72,99.72,99.72,99.72,99.72,99.72,99.72,99.72,99.72,99.72,99.72,99.72,98.6,99.72,99.72,99.72,99.72,99.72,99.72,99.72,99.72,99.72,99.72,99.72,99.72,99.72,99.72,100,100,99.72,99.72,99.72,99.72,95.81,99.72,99.72,100,100,100,97.49,99.72
KPN_04830,100,100,100,99.56,99.56,99.56,99.56,99.56,99.56,99.56,99.56,99.56,99.56,99.56,99.56,99.56,99.56,99.56,99.56,99.56,99.56,100,99.56,99.56,99.56,100,99.56,99.56,99.56,100,100,99.56,100,99.56,100,100,99.56,100,99.56,97.78,100,99.56,99.56,99.56,99.56,99.56,99.56,99.56,100,99.56,99.56,99.56,99.56,100,99.56,99.56,99.56,99.56,99.56,99.56,99.56,99.56,99.56,99.56,99.56,99.56,99.56,99.56,100,99.56,99.56,99.56,99.56,99.56,97.78,100,100,100,100,100,96,100
KPN_03207,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.43,100,100,100,100,98.85,100,100,100,100,100,100,100,100,83.33,99.43,100,100,100,100,100,100,100,98.85,100,100,100,100,99.43,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.43,100,100,100,100,100,83.91,98.85,98.85,100,100,100,98.28,99.43
KPN_03349,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,98.63,100
KPN_02666,100,99.79,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.79,99.38,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.79,100,100,100,100,100,99.59,99.79
KPN_04675,100,100,100,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.41,99.7,99.7,99.7,100,,99.7,99.7,100,99.41,99.7,100,99.7,100,100,99.7,99.7,99.7,100,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,100,99.7,99.7,99.7,99.7,99.41,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.01,99.7,99.7,99.7,99.7,100,99.7,99.7,100,100,100,99.7,99.7
KPN_03800,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.78,100,100,99.78,100,99.55,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.55,100,100,100,100,100,98.38,100
KPN_04012,100,98.25,99.75,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.02,100,100,100,100,100,100,100,100,99.75,99.75,100,100,99.75,98.25,100,100,100,98.5,100,100,100,100,100,100,100,100,99.5,100,100,100,100,99.75,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.75,100,100,100,100,100,98.25,99.75,99.75,100,100,100,99.5,100
KPN_03792,99.6,99.6,99.6,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.6,99.8,99.8,99.8,99.8,99.6,99.8,99.8,99.8,99.4,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.39,99.8,99.8,99.8,99.8,99.4,99.8,99.8,100,100,99.8,99.6,99.8
KPN_03029,99.89,99.89,99.77,99.77,99.77,99.77,99.77,99.77,99.77,99.77,99.77,99.77,99.77,99.77,99.77,99.77,99.77,99.77,99.77,99.77,99.77,99.66,99.77,99.77,99.77,99.89,99.77,99.77,99.77,99.89,99.89,99.77,99.66,99.77,99.77,99.89,99.77,99.89,99.77,98.97,99.54,99.77,99.77,99.77,99.77,99.77,99.77,99.77,99.89,99.77,99.77,99.77,99.77,99.77,99.77,99.77,99.77,99.77,99.77,99.77,99.77,99.77,99.77,99.77,99.77,99.77,99.77,99.77,99.77,100,99.77,99.77,99.77,99.77,99.09,99.89,99.89,100,100,99.89,98.86,99.77
KPN_04652,100,99.79,100,99.79,99.79,99.79,99.79,99.79,99.79,99.79,99.79,99.79,99.79,99.79,99.79,99.79,99.79,99.79,99.79,99.79,99.79,99.79,99.79,99.79,99.79,100,99.79,99.79,99.79,100,99.79,99.79,100,99.79,100,99.79,99.79,100,99.79,99.79,99.79,99.79,99.79,99.79,99.79,99.79,99.79,99.79,100,99.79,99.79,99.79,99.79,99.58,99.79,99.79,99.79,99.79,99.79,99.79,99.79,99.79,99.79,99.79,99.79,99.79,99.79,99.79,99.79,99.79,99.79,99.79,99.79,99.79,99.58,99.58,99.58,100,100,100,99.15,100
KPN_00796,99.8,99.61,99.41,99.41,99.41,99.41,99.41,99.41,99.41,99.41,99.41,99.41,99.41,99.41,99.41,99.41,99.41,99.41,99.41,99.41,99.41,99.41,99.41,99.41,99.41,99.61,99.41,99.41,99.41,99.8,99.02,99.21,99.61,99.41,99.44,99.61,99.41,99.61,99.41,99.41,98.9,99.41,99.41,99.41,99.41,99.41,99.41,99.41,99.21,99.41,99.41,99.41,99.41,99.41,99.41,99.41,99.41,99.41,99.41,99.41,99.41,99.41,99.41,99.41,99.41,99.41,99.41,99.41,99.61,100,99.41,99.41,99.41,99.41,99.51,99.61,99.61,100,100,99.8,97.44,99.21
KPN_03245,99.58,99.72,99.72,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.86,100,100,100,99.86,100,100,100,99.72,100,100,99.86,100,100,99.72,100,99.86,100,98.75,99.72,100,100,100,100,100,100,100,99.72,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.74,100,100,100,100,98.61,100,100,100,100,99.86,98.89,99.58
KPN_01224,98.87,98.19,98.87,98.87,98.87,98.87,98.87,98.87,98.87,98.87,98.87,98.87,98.87,98.87,98.87,98.87,98.87,98.87,98.87,98.87,98.87,98.87,98.87,98.87,98.87,99.09,98.87,98.87,98.87,99.09,99.09,99.09,99.09,98.87,99.09,98.19,98.87,98.87,98.87,95.92,,98.87,98.87,98.87,98.87,98.87,98.87,98.87,99.09,98.87,98.87,98.87,98.87,99.09,98.87,98.87,98.87,98.87,98.87,98.87,98.87,98.87,98.87,98.87,98.87,98.87,98.87,98.87,99.09,98.87,98.87,98.87,98.87,98.87,95.69,98.87,98.87,100,100,99.09,96.83,98.87
KPN_04627,99.78,99.78,99.78,99.78,99.78,99.78,99.78,99.78,99.78,99.78,99.78,99.78,99.78,99.78,99.78,99.78,99.78,99.78,99.78,99.78,99.78,99.56,99.78,99.78,99.77,99.78,100,99.78,99.78,99.56,99.78,99.78,99.78,99.78,99.78,99.56,99.78,99.78,99.78,99.34,99.78,99.78,99.78,99.78,99.78,99.78,99.78,99.78,99.78,99.78,99.78,99.78,99.78,99.78,99.78,99.78,99.78,99.78,99.78,99.78,99.78,99.78,99.78,99.78,99.78,99.78,99.78,99.78,99.78,99.78,99.78,99.78,99.78,99.78,99.34,99.78,99.78,100,100,99.56,99.78,99.56
KPN_02848,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
KPN_04845,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.76,100,100,100,100,100,100,100,100,99.76,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.76,100,100,100,100,99.76,100,100,100,100,100,100,100
KPN_04673,99.84,99.84,99.84,99.84,99.84,99.84,99.84,99.84,99.84,99.84,99.84,99.84,99.84,99.84,99.84,99.84,99.84,99.84,99.84,99.84,99.84,99.84,99.84,99.84,99.84,99.69,,99.06,93.15,99.69,99.84,99.84,99.84,99.84,99.69,99.84,99.84,99.84,99.84,99.53,99.69,99.84,99.84,99.84,99.84,99.84,99.84,99.84,99.69,99.84,99.84,99.84,99.84,99.84,99.84,99.84,99.84,99.84,99.84,99.84,99.84,99.84,99.84,99.84,99.84,99.84,99.84,99.84,99.84,99.69,99.84,99.84,99.69,99.84,99.22,99.84,99.84,100,100,99.69,99.22,99.84
KPN_04654,100,99.89,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.89,100,100,100,99.89,100,100,100,99.78,100,100,99.89,100,100,99.89,100,99.78,100,98.78,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.89,100,100,100,100,100,98.78,99.89,99.89,100,100,99.78,,99.45
KPN_04645,96.75,100,96.75,99.35,99.35,99.35,99.35,99.35,99.35,99.35,99.35,99.35,99.35,99.35,99.35,99.35,99.35,99.35,99.35,99.35,99.35,96.75,99.35,99.35,99.35,97.4,99.35,99.35,99.35,100,99.35,96.75,96.75,99.35,95.45,100,99.35,96.75,99.35,94.16,99.35,99.35,99.35,99.35,99.35,99.35,99.35,99.35,96.75,99.35,99.35,99.35,99.35,96.75,99.35,99.35,99.35,99.35,99.35,99.35,99.35,99.35,99.35,99.35,99.35,99.35,99.35,99.35,99.35,96.75,99.35,99.35,99.35,99.35,94.16,100,100,100,100,100,98.05,94.81
KPN_00612,99.63,99.44,99.7,99.63,99.42,99.63,99.63,99.63,99.63,99.63,99.63,99.63,99.63,99.63,99.63,99.63,99.63,99.63,99.63,99.63,99.63,99.44,99.63,99.63,99.63,99.25,99.63,99.63,99.63,99.63,99.63,98.88,99.63,99.63,99.63,99.44,99.63,99.63,99.63,97.38,99.44,99.63,99.63,99.63,99.63,99.63,99.63,99.63,99.44,99.63,99.63,99.63,99.63,99.81,99.63,99.63,99.63,99.63,99.63,99.63,99.63,99.63,99.63,99.63,99.63,99.63,99.63,99.63,100,99.44,99.63,99.63,99.63,99.63,97.57,99.44,99.44,100,100,99.63,98.32,
KPN_03551,,,100,99.71,99.71,99.71,99.71,99.71,99.71,99.71,99.71,99.71,99.71,99.71,99.71,99.71,99.71,99.71,99.71,99.71,99.71,100,99.71,99.71,99.71,,99.71,99.71,99.71,99.71,,,,99.71,100,,99.71,,99.71,99.14,,99.71,99.71,99.71,99.71,99.71,99.71,99.71,,99.71,99.71,99.71,99.71,,99.71,99.71,99.71,99.71,99.71,99.71,99.71,99.71,99.71,99.71,99.71,99.71,99.71,99.71,100,,99.71,99.71,99.71,99.71,99.14,,,100,100,99.42,,
KPN_03538,99.22,98.83,100,99.61,99.61,99.61,99.61,99.61,99.61,99.61,99.61,99.61,99.61,99.61,99.61,99.61,99.61,99.61,99.61,99.61,99.61,99.22,99.61,99.61,99.61,99.22,99.61,99.61,99.61,99.61,100,99.22,100,99.61,100,98.83,99.61,99.61,99.61,99.22,99.61,99.61,99.61,99.61,99.61,99.61,99.61,99.61,99.61,99.61,99.61,99.61,99.61,99.22,99.61,99.61,99.61,99.61,99.61,99.61,99.61,99.61,99.61,99.61,99.61,99.61,99.61,99.61,100,99.61,99.61,99.61,99.61,99.61,99.22,99.61,99.61,100,100,99.61,98.05,100
KPN_00393,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.85,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.85,100,100,100,100,100,99.7,99.85
KPN_00373,100,100,100,99.67,99.67,99.67,99.67,99.67,99.67,99.67,99.67,99.67,99.67,100,99.67,99.67,99.67,99.67,99.67,99.67,99.67,100,99.67,99.67,99.67,100,99.67,99.67,99.67,100,99.67,100,100,99.67,100,100,100,100,99.67,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.67,100,100,100,100,100,99,100,100,100,100,100,97.99,100
